Team,O_Rank,D_Rank,Losses,Average_Rank,New_Rank
Detroit Lions,1,8,2,3.6666666666666665,1.0
Minnesota Vikings,9,2,2,4.333333333333333,2.0
Kansas City Chiefs,11,3,1,5.0,3.0
Buffalo Bills,2,11,3,5.333333333333333,4.0
Philadelphia Eagles,8,5,3,5.333333333333333,4.0
Green Bay Packers,7,6,4,5.666666666666667,5.0
Denver Broncos,10,4,6,6.666666666666667,6.0
Pittsburgh Steelers,12,7,5,8.0,7.0
Los Angeles Chargers,18,1,6,8.333333333333334,8.0
Baltimore Ravens,3,19,5,9.0,9.0
Washington Commanders,4,18,5,9.0,9.0
Houston Texans,13,9,6,9.333333333333334,10.0
Tampa Bay Buccaneers,5,22,7,11.333333333333334,11.0
Seattle Seahawks,15,12,7,11.333333333333334,11.0
Arizona Cardinals,14,13,8,11.666666666666666,12.0
Los Angeles Rams,17,17,6,13.333333333333334,13.0
Miami Dolphins,23,10,8,13.666666666666666,14.0
Cincinnati Bengals,6,28,8,14.0,15.0
San Francisco 49ers,16,21,9,15.333333333333334,16.0
Atlanta Falcons,19,20,7,15.333333333333334,16.0
New Orleans Saints,22,16,10,16.0,17.0
New York Jets,24,15,11,16.666666666666668,18.0
Chicago Bears,26,14,11,17.0,19.0
Indianapolis Colts,21,23,8,17.333333333333332,20.0
Dallas Cowboys,20,30,8,19.333333333333332,21.0
New England Patriots,30,24,12,22.0,22.0
Tennessee Titans,25,31,12,22.666666666666668,23.0
Las Vegas Raiders,29,27,12,22.666666666666668,23.0
Jacksonville Jaguars,28,29,12,23.0,24.0
Cleveland Browns,31,26,12,23.0,24.0
New York Giants,32,25,13,23.333333333333332,25.0
Carolina Panthers,27,32,12,23.666666666666668,26.0
